genome1	genome2	chr1	chr2	blkID	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	minBp2	maxBp2	minOrd2	maxOrd2	minGene2	maxGene2	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 172	146348923	147100149	24092	24103	3_2560	3_2571	10	281697565	282914224	11647	11661	1_12888	1_12902	10	-	282914224	281697565	11661	11647	1_12902	1_12888
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 174	148963075	149843057	24138	24150	3_2606	3_2618	9	284877947	285667217	11718	11730	1_12959	1_12971	9	-	285667217	284877947	11730	11718	1_12971	1_12959
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 176	155160559	155336555	24239	24250	3_2707	3_2718	9	290419860	290598495	11818	11833	1_13059	1_13074	9	-	290598495	290419860	11833	11818	1_13074	1_13059
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 182	167905494	171608679	24495	24567	3_2963	3_3035	41	303177432	307084066	12089	12167	1_13330	1_13408	41	-	307084066	303177432	12167	12089	1_13408	1_13330
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 104	68714685	69025162	25826	25836	3_8239	3_8249	7	61271093	61583915	7304	7315	1_8545	1_8556	7	-	61583915	61271093	7315	7304	1_8556	1_8545
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 107	72928038	73657917	25928	25945	3_8341	3_8358	12	65779352	66353369	7411	7427	1_8652	1_8668	12	-	66353369	65779352	7427	7411	1_8668	1_8652
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 112	154303563	154875160	27462	27482	3_9875	3_9895	6	73029923	74000728	7537	7550	1_8778	1_8791	6	-	74000728	73029923	7550	7537	1_8791	1_8778
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 113	150688074	152393877	27380	27419	3_9793	3_9832	10	74100776	75261645	7558	7577	1_8799	1_8818	10	-	75261645	74100776	7577	7558	1_8818	1_8799
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 116	149732350	150386500	27350	27367	3_9763	3_9780	7	76750791	77182332	7609	7624	1_8850	1_8865	7	-	77182332	76750791	7624	7609	1_8865	1_8850
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 117	147379391	149182822	27296	27339	3_9709	3_9752	18	77263020	79224070	7626	7674	1_8867	1_8915	18	-	79224070	77263020	7674	7626	1_8915	1_8867
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 119	142395459	146845729	27184	27280	3_9597	3_9693	42	80181842	84929056	7687	7792	1_8928	1_9033	42	-	84929056	80181842	7792	7687	1_9033	1_8928
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 121	135092794	140166347	27044	27147	3_9457	3_9560	64	87086030	93354818	7825	7954	1_9066	1_9195	64	-	93354818	87086030	7954	7825	1_9195	1_9066
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 122	133793940	134405496	27024	27033	3_9437	3_9446	7	93389679	94175813	7955	7968	1_9196	1_9209	7	-	94175813	93389679	7968	7955	1_9209	1_9196
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 123	134463810	134879442	27034	27041	3_9447	3_9454	6	94380075	94996505	7972	7990	1_9213	1_9231	6	-	94996505	94380075	7990	7972	1_9231	1_9213
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 124	122525004	133691608	26810	27023	3_9223	3_9436	104	95006727	105929325	7991	8219	1_9232	1_9460	104	-	105929325	95006727	8219	7991	1_9460	1_9232
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 126	119078060	120931084	26747	26775	3_9160	3_9188	16	107615810	109649830	8261	8295	1_9502	1_9536	16	-	109649830	107615810	8295	8261	1_9536	1_9502
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 128	112578623	117284332	26599	26692	3_9012	3_9105	40	110873797	115138066	8335	8422	1_9576	1_9663	40	-	115138066	110873797	8422	8335	1_9663	1_9576
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 130	109902770	111515347	26536	26576	3_8949	3_8989	24	116087714	117336074	8439	8475	1_9680	1_9716	24	-	117336074	116087714	8475	8439	1_9716	1_9680
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 132	102572827	108469400	26418	26508	3_8831	3_8921	48	119383859	124173003	8503	8576	1_9744	1_9817	48	-	124173003	119383859	8576	8503	1_9817	1_9744
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 133	85669259	102300367	26160	26416	3_8573	3_8829	126	124318833	138986403	8585	8836	1_9826	1_10077	126	-	138986403	124318833	8836	8585	1_10077	1_9826
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 135	83816056	84603241	26111	26129	3_8524	3_8542	7	140130224	140926234	8873	8887	1_10114	1_10128	7	-	140926234	140130224	8887	8873	1_10128	1_10114
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 140	80847414	82195454	26060	26083	3_8473	3_8496	17	142448489	143710454	8916	8939	1_10157	1_10180	17	-	143710454	142448489	8939	8916	1_10180	1_10157
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 85	15647106	17571879	24878	24912	3_7291	3_7325	5	12828600	13433610	6427	6443	1_7668	1_7684	5	-	13433610	12828600	6443	6427	1_7684	1_7668
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 90	32375875	33206772	25162	25178	3_7575	3_7591	13	26448712	27521191	6692	6722	1_7933	1_7963	13	-	27521191	26448712	6722	6692	1_7963	1_7933
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 91	33580112	33988846	25180	25194	3_7593	3_7607	8	28065114	28662584	6729	6739	1_7970	1_7980	8	-	28662584	28065114	6739	6729	1_7980	1_7970
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 93	38879920	41138702	25282	25335	3_7695	3_7748	15	33567096	35404536	6809	6844	1_8050	1_8085	15	-	35404536	33567096	6844	6809	1_8085	1_8050
Dxau	Dhello	dx7	dh2	Dxau_vs_Dhello: 96	48017652	49410716	25438	25463	3_7851	3_7876	17	41473131	42938419	6944	6974	1_8185	1_8215	17	-	42938419	41473131	6974	6944	1_8215	1_8185
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 142	144367974	145419230	30053	30067	3_12466	3_12480	8	147801486	148436731	9008	9029	1_10249	1_10270	8	-	148436731	147801486	9029	9008	1_10270	1_10249
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 143	134229100	141918179	29860	30001	3_12273	3_12414	66	148749405	155549380	9031	9176	1_10272	1_10417	66	-	155549380	148749405	9176	9031	1_10417	1_10272
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 145	133165172	133854564	29840	29849	3_12253	3_12262	6	156593537	157286082	9196	9205	1_10437	1_10446	6	-	157286082	156593537	9205	9196	1_10446	1_10437
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 147	126765974	129704496	29709	29769	3_12122	3_12182	22	159011381	161842796	9253	9315	1_10494	1_10556	22	-	161842796	159011381	9315	9253	1_10556	1_10494
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 148	125318670	125631869	29682	29689	3_12095	3_12102	7	162230026	162527298	9318	9326	1_10559	1_10567	7	-	162527298	162230026	9326	9318	1_10567	1_10559
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 150	119291919	125108253	29588	29679	3_12001	3_12092	48	163781480	169654026	9349	9463	1_10590	1_10704	48	-	169654026	163781480	9463	9349	1_10704	1_10590
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 152	114438175	118139491	29514	29563	3_11927	3_11976	33	170638683	174054171	9486	9544	1_10727	1_10785	33	-	174054171	170638683	9544	9486	1_10785	1_10727
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 154	113698598	114002033	29493	29501	3_11906	3_11914	7	175694419	176026026	9578	9586	1_10819	1_10827	7	-	176026026	175694419	9586	9578	1_10827	1_10819
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 155	83844768	111746254	28975	29463	3_11388	3_11876	250	176241475	202488426	9590	10135	1_10831	1_11376	250	-	202488426	176241475	10135	9590	1_11376	1_10831
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 157	82727990	83133580	28959	28965	3_11372	3_11378	7	203816652	204142811	10165	10172	1_11406	1_11413	7	-	204142811	203816652	10172	10165	1_11413	1_11406
Dxau	Dhello	dx8	dh2	Dxau_vs_Dhello: 158	80196883	81082233	28899	28933	3_11312	3_11346	8	204668708	205688135	10179	10193	1_11420	1_11434	8	-	205688135	204668708	10193	10179	1_11434	1_11420
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 101	8537567	11305599	6351	6404	1_7592	1_7645	15	10656242	14772674	20949	21018	2_22999	2_23068	15	+	10656242	14772674	20949	21018	2_22999	2_23068
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 105	15723275	18846044	6482	6530	1_7723	1_7771	18	18944315	23114236	21082	21144	2_23132	2_23194	18	+	18944315	23114236	21082	21144	2_23132	2_23194
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 108	19409727	19803804	6547	6556	1_7788	1_7797	8	25025472	25581722	21180	21191	2_23230	2_23241	8	+	25025472	25581722	21180	21191	2_23230	2_23241
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 111	20967789	26943590	6591	6707	1_7832	1_7948	37	25767799	31666565	21196	21324	2_23246	2_23374	37	+	25767799	31666565	21196	21324	2_23246	2_23374
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 115	29349344	31839995	6748	6794	1_7989	1_8035	22	34515159	38238876	21373	21465	2_23423	2_23515	22	+	34515159	38238876	21373	21465	2_23423	2_23515
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 118	34429954	35213678	6826	6841	1_8067	1_8082	10	38560312	39815414	21468	21492	2_23518	2_23542	10	+	38560312	39815414	21468	21492	2_23518	2_23542
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 119	35965890	39188845	6852	6895	1_8093	1_8136	19	42393163	44574162	21525	21567	2_23575	2_23617	19	+	42393163	44574162	21525	21567	2_23575	2_23617
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 122	44483850	52270263	6998	7135	1_8239	1_8376	75	50115029	58678679	21675	21855	2_23725	2_23905	75	+	50115029	58678679	21675	21855	2_23725	2_23905
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 124	52769656	57811327	7149	7237	1_8390	1_8478	42	59343825	64198860	21874	21995	2_23924	2_24045	42	+	59343825	64198860	21874	21995	2_23924	2_24045
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 127	59981253	61103566	7271	7299	1_8512	1_8540	12	66561192	67348681	22061	22089	2_24111	2_24139	12	+	66561192	67348681	22061	22089	2_24111	2_24139
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 129	61824627	62620479	7319	7351	1_8560	1_8592	13	67853610	68631670	22106	22144	2_24156	2_24194	13	+	67853610	68631670	22106	22144	2_24156	2_24194
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 130	62699578	63510018	7353	7367	1_8594	1_8608	8	70654846	71265385	22206	22217	2_24256	2_24267	8	+	70654846	71265385	22206	22217	2_24256	2_24267
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 134	65134616	65601523	7394	7406	1_8635	1_8647	8	71289429	71848710	22219	22234	2_24269	2_24284	8	+	71289429	71848710	22219	22234	2_24269	2_24284
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 136	66599233	71288537	7430	7511	1_8671	1_8752	31	72712992	77091327	22260	22352	2_24310	2_24402	31	+	72712992	77091327	22260	22352	2_24310	2_24402
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 158	135182015	137111902	8760	8799	1_10001	1_10040	19	85350672	86676720	22599	22627	2_24649	2_24677	19	+	85350672	86676720	22599	22627	2_24649	2_24677
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 160	140925293	143426845	8887	8932	1_10128	1_10173	28	79074246	81420788	22405	22477	2_24455	2_24527	28	+	79074246	81420788	22405	22477	2_24455	2_24527
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 99	498168	1011423	6217	6226	1_7458	1_7467	7	7954286	8519379	20900	20911	2_22950	2_22961	7	+	7954286	8519379	20900	20911	2_22950	2_22961
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 162	174330091	176052302	9551	9587	1_10792	1_10828	15	126380763	128009797	27206	27242	2_22109	2_22145	15	+	126380763	128009797	27206	27242	2_22109	2_22145
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 164	180305444	181164964	9691	9712	1_10932	1_10953	14	121672603	122686795	27084	27106	2_21987	2_22009	14	+	121672603	122686795	27084	27106	2_21987	2_22009
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 165	181762008	183913825	9724	9761	1_10965	1_11002	23	119892684	121606725	27043	27083	2_21946	2_21986	23	+	119892684	121606725	27043	27083	2_21946	2_21986
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 167	206051903	206667768	10200	10210	1_11441	1_11451	9	96988412	97604707	26434	26443	2_21337	2_21346	9	+	96988412	97604707	26434	26443	2_21337	2_21346
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 169	212135762	213867676	10280	10296	1_11521	1_11537	11	90301424	92027193	26332	26359	2_21235	2_21262	11	+	90301424	92027193	26332	26359	2_21235	2_21262
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 170	217228627	219330520	10355	10383	1_11596	1_11624	17	88315512	90095185	26303	26326	2_21206	2_21229	17	+	88315512	90095185	26303	26326	2_21206	2_21229
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 172	230245874	230770144	10601	10615	1_11842	1_11856	9	77617293	78500456	26099	26119	2_21002	2_21022	9	+	77617293	78500456	26099	26119	2_21002	2_21022
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 174	248322461	249005003	10994	11001	1_12235	1_12242	7	61614018	62336469	25737	25748	2_20640	2_20651	7	+	61614018	62336469	25737	25748	2_20640	2_20651
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 176	251372966	251731674	11054	11065	1_12295	1_12306	7	59236341	59660542	25679	25691	2_20582	2_20594	7	+	59236341	59660542	25679	25691	2_20582	2_20594
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 178	262549015	263341259	11307	11322	1_12548	1_12563	10	46827336	47705647	25405	25423	2_20308	2_20326	10	+	46827336	47705647	25405	25423	2_20308	2_20326
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 181	272137373	273169934	11498	11516	1_12739	1_12757	11	39413074	40389735	25251	25265	2_20154	2_20168	11	+	39413074	40389735	25251	25265	2_20154	2_20168
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 186	275032697	276375539	11550	11573	1_12791	1_12814	17	36215325	37411060	25201	25223	2_20104	2_20126	17	+	36215325	37411060	25201	25223	2_20104	2_20126
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 189	278515083	279688267	11608	11630	1_12849	1_12871	15	32998488	34178466	25129	25155	2_20032	2_20058	15	+	32998488	34178466	25129	25155	2_20032	2_20058
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 191	283126824	283790152	11666	11681	1_12907	1_12922	7	28692501	29174111	25050	25059	2_19953	2_19962	7	+	28692501	29174111	25050	25059	2_19953	2_19962
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 195	284685287	285292649	11707	11725	1_12948	1_12966	9	27130863	27562684	25009	25025	2_19912	2_19928	9	+	27130863	27562684	25009	25025	2_19912	2_19928
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 197	288995008	289382441	11782	11792	1_13023	1_13033	9	23402130	23707500	24913	24924	2_19816	2_19827	9	+	23402130	23707500	24913	24924	2_19816	2_19827
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 202	290694706	291156492	11834	11844	1_13075	1_13085	9	22281795	22838262	24873	24885	2_19776	2_19788	9	+	22281795	22838262	24873	24885	2_19776	2_19788
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 205	309449066	310356588	12207	12221	1_13448	1_13462	7	1124499	2165170	24489	24515	2_19392	2_19418	7	+	1124499	2165170	24489	24515	2_19392	2_19418
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 138	72344520	75261645	7525	7577	1_8766	1_8818	23	1624395	4572019	27926	28000	2_11726	2_11800	23	+	1624395	4572019	27926	28000	2_11726	2_11800
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 139	75927106	79224070	7589	7674	1_8830	1_8915	36	4766573	8920565	28001	28110	2_11801	2_11910	36	+	4766573	8920565	28001	28110	2_11801	2_11910
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 141	80268772	81973991	7688	7726	1_8929	1_8967	20	9527881	12216662	28128	28177	2_11928	2_11977	20	+	9527881	12216662	28128	28177	2_11928	2_11977
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 147	87086030	92785969	7825	7943	1_9066	1_9184	60	17096988	22307439	28286	28408	2_12086	2_12208	60	+	17096988	22307439	28286	28408	2_12086	2_12208
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 149	93507561	106546492	7956	8245	1_9197	1_9486	105	23114813	36823077	28420	28681	2_12220	2_12481	105	+	23114813	36823077	28420	28681	2_12220	2_12481
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 151	107392425	109649830	8259	8295	1_9500	1_9536	17	37656262	40371357	28705	28756	2_12505	2_12556	17	+	37656262	40371357	28705	28756	2_12505	2_12556
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 154	111734590	117336074	8356	8475	1_9597	1_9716	65	43682142	49700530	28822	29003	2_12622	2_12803	65	+	43682142	49700530	28822	29003	2_12622	2_12803
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 156	119383859	122092826	8503	8548	1_9744	1_9789	22	51129595	54269774	29030	29103	2_12830	2_12903	22	+	51129595	54269774	29030	29103	2_12830	2_12903
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 101	10656242	14772674	20949	21018	2_22999	2_23068	15	8537567	11305599	6351	6404	1_7592	1_7645	15	+	8537567	11305599	6351	6404	1_7592	1_7645
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 105	18944315	23114236	21082	21144	2_23132	2_23194	18	15723275	18846044	6482	6530	1_7723	1_7771	18	+	15723275	18846044	6482	6530	1_7723	1_7771
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 108	25025472	25581722	21180	21191	2_23230	2_23241	8	19409727	19803804	6547	6556	1_7788	1_7797	8	+	19409727	19803804	6547	6556	1_7788	1_7797
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 111	25767799	31666565	21196	21324	2_23246	2_23374	37	20967789	26943590	6591	6707	1_7832	1_7948	37	+	20967789	26943590	6591	6707	1_7832	1_7948
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 115	34515159	38238876	21373	21465	2_23423	2_23515	22	29349344	31839995	6748	6794	1_7989	1_8035	22	+	29349344	31839995	6748	6794	1_7989	1_8035
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 118	38560312	39815414	21468	21492	2_23518	2_23542	10	34429954	35213678	6826	6841	1_8067	1_8082	10	+	34429954	35213678	6826	6841	1_8067	1_8082
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 119	42393163	44574162	21525	21567	2_23575	2_23617	19	35965890	39188845	6852	6895	1_8093	1_8136	19	+	35965890	39188845	6852	6895	1_8093	1_8136
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 122	50115029	58678679	21675	21855	2_23725	2_23905	75	44483850	52270263	6998	7135	1_8239	1_8376	75	+	44483850	52270263	6998	7135	1_8239	1_8376
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 124	59343825	64198860	21874	21995	2_23924	2_24045	42	52769656	57811327	7149	7237	1_8390	1_8478	42	+	52769656	57811327	7149	7237	1_8390	1_8478
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 127	66561192	67348681	22061	22089	2_24111	2_24139	12	59981253	61103566	7271	7299	1_8512	1_8540	12	+	59981253	61103566	7271	7299	1_8512	1_8540
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 129	67853610	68631670	22106	22144	2_24156	2_24194	13	61824627	62620479	7319	7351	1_8560	1_8592	13	+	61824627	62620479	7319	7351	1_8560	1_8592
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 130	70654846	71265385	22206	22217	2_24256	2_24267	8	62699578	63510018	7353	7367	1_8594	1_8608	8	+	62699578	63510018	7353	7367	1_8594	1_8608
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 134	71289429	71848710	22219	22234	2_24269	2_24284	8	65134616	65601523	7394	7406	1_8635	1_8647	8	+	65134616	65601523	7394	7406	1_8635	1_8647
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 136	72712992	77091327	22260	22352	2_24310	2_24402	31	66599233	71288537	7430	7511	1_8671	1_8752	31	+	66599233	71288537	7430	7511	1_8671	1_8752
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 158	85350672	86676720	22599	22627	2_24649	2_24677	19	135182015	137111902	8760	8799	1_10001	1_10040	19	+	135182015	137111902	8760	8799	1_10001	1_10040
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 160	79074246	81420788	22405	22477	2_24455	2_24527	28	140925293	143426845	8887	8932	1_10128	1_10173	28	+	140925293	143426845	8887	8932	1_10128	1_10173
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 99	7954286	8519379	20900	20911	2_22950	2_22961	7	498168	1011423	6217	6226	1_7458	1_7467	7	+	498168	1011423	6217	6226	1_7458	1_7467
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 162	126380763	128009797	27206	27242	2_22109	2_22145	15	174330091	176052302	9551	9587	1_10792	1_10828	15	+	174330091	176052302	9551	9587	1_10792	1_10828
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 164	121672603	122686795	27084	27106	2_21987	2_22009	14	180305444	181164964	9691	9712	1_10932	1_10953	14	+	180305444	181164964	9691	9712	1_10932	1_10953
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 165	119892684	121606725	27043	27083	2_21946	2_21986	23	181762008	183913825	9724	9761	1_10965	1_11002	23	+	181762008	183913825	9724	9761	1_10965	1_11002
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 167	96988412	97604707	26434	26443	2_21337	2_21346	9	206051903	206667768	10200	10210	1_11441	1_11451	9	+	206051903	206667768	10200	10210	1_11441	1_11451
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 169	90301424	92027193	26332	26359	2_21235	2_21262	11	212135762	213867676	10280	10296	1_11521	1_11537	11	+	212135762	213867676	10280	10296	1_11521	1_11537
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 170	88315512	90095185	26303	26326	2_21206	2_21229	17	217228627	219330520	10355	10383	1_11596	1_11624	17	+	217228627	219330520	10355	10383	1_11596	1_11624
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 172	77617293	78500456	26099	26119	2_21002	2_21022	9	230245874	230770144	10601	10615	1_11842	1_11856	9	+	230245874	230770144	10601	10615	1_11842	1_11856
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 174	61614018	62336469	25737	25748	2_20640	2_20651	7	248322461	249005003	10994	11001	1_12235	1_12242	7	+	248322461	249005003	10994	11001	1_12235	1_12242
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 176	59236341	59660542	25679	25691	2_20582	2_20594	7	251372966	251731674	11054	11065	1_12295	1_12306	7	+	251372966	251731674	11054	11065	1_12295	1_12306
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 178	46827336	47705647	25405	25423	2_20308	2_20326	10	262549015	263341259	11307	11322	1_12548	1_12563	10	+	262549015	263341259	11307	11322	1_12548	1_12563
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 181	39413074	40389735	25251	25265	2_20154	2_20168	11	272137373	273169934	11498	11516	1_12739	1_12757	11	+	272137373	273169934	11498	11516	1_12739	1_12757
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 186	36215325	37411060	25201	25223	2_20104	2_20126	17	275032697	276375539	11550	11573	1_12791	1_12814	17	+	275032697	276375539	11550	11573	1_12791	1_12814
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 189	32998488	34178466	25129	25155	2_20032	2_20058	15	278515083	279688267	11608	11630	1_12849	1_12871	15	+	278515083	279688267	11608	11630	1_12849	1_12871
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 191	28692501	29174111	25050	25059	2_19953	2_19962	7	283126824	283790152	11666	11681	1_12907	1_12922	7	+	283126824	283790152	11666	11681	1_12907	1_12922
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 195	27130863	27562684	25009	25025	2_19912	2_19928	9	284685287	285292649	11707	11725	1_12948	1_12966	9	+	284685287	285292649	11707	11725	1_12948	1_12966
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 197	23402130	23707500	24913	24924	2_19816	2_19827	9	288995008	289382441	11782	11792	1_13023	1_13033	9	+	288995008	289382441	11782	11792	1_13023	1_13033
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 202	22281795	22838262	24873	24885	2_19776	2_19788	9	290694706	291156492	11834	11844	1_13075	1_13085	9	+	290694706	291156492	11834	11844	1_13075	1_13085
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 205	1124499	2165170	24489	24515	2_19392	2_19418	7	309449066	310356588	12207	12221	1_13448	1_13462	7	+	309449066	310356588	12207	12221	1_13448	1_13462
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 138	1624395	4572019	27926	28000	2_11726	2_11800	23	72344520	75261645	7525	7577	1_8766	1_8818	23	+	72344520	75261645	7525	7577	1_8766	1_8818
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 139	4766573	8920565	28001	28110	2_11801	2_11910	36	75927106	79224070	7589	7674	1_8830	1_8915	36	+	75927106	79224070	7589	7674	1_8830	1_8915
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 141	9527881	12216662	28128	28177	2_11928	2_11977	20	80268772	81973991	7688	7726	1_8929	1_8967	20	+	80268772	81973991	7688	7726	1_8929	1_8967
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 147	17096988	22307439	28286	28408	2_12086	2_12208	60	87086030	92785969	7825	7943	1_9066	1_9184	60	+	87086030	92785969	7825	7943	1_9066	1_9184
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 149	23114813	36823077	28420	28681	2_12220	2_12481	105	93507561	106546492	7956	8245	1_9197	1_9486	105	+	93507561	106546492	7956	8245	1_9197	1_9486
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 151	37656262	40371357	28705	28756	2_12505	2_12556	17	107392425	109649830	8259	8295	1_9500	1_9536	17	+	107392425	109649830	8259	8295	1_9500	1_9536
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 154	43682142	49700530	28822	29003	2_12622	2_12803	65	111734590	117336074	8356	8475	1_9597	1_9716	65	+	111734590	117336074	8356	8475	1_9597	1_9716
